angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,HIP,B-V,SHK,Act,Jitter,logRHK,dMag,Prot,Age,Obs,S,SimbadName,_RA,_DE
0.033906,157.8509044250000,45.5260502375000,0.001,0.001,0,830239138487431808,157.84742455786,0.0327,45.52348898498,0.0409,62.4489,0.0595,-566.220,0.064,-594.872,0.078,0,9.11584e+06,6.99217e+03,8.288874,3.16804e+06,4.41163e+03,9.099413,8.46606e+06,1.84994e+04,7.442717,1.656696,20.28,0.18,4074.76,0.7292,0.3507,0.77,0.147,157.8508917,45.5260472,GJ 397,51525,1.33,1.206,Act,3.36,,0.27,,,K,S,GJ 397,157.85089,45.52605
4.810171,157.8527969210000,45.5261081323000,0.002,0.002,0,830239138485572224,157.84924689461,0.0547,45.52347928935,0.0683,62.4193,0.1002,-577.647,0.101,-610.583,0.134,0,1.01677e+05,1.27757e+02,13.170307,1.96876e+04,9.81898e+02,14.615906,1.52690e+05,1.67487e+03,11.802390,2.813516,,,4093.00,,,,,157.8508917,45.5260472,GJ 397,51525,1.33,1.206,Act,3.36,,0.27,,,K,S,GJ 397,157.85089,45.52605
0.002183,2.1705771200700,36.6271247039000,0.001,0.001,90,2877522230262577024,2.16996515244,0.0377,36.62658952719,0.0223,30.6749,0.0522,-114.069,0.056,-124.300,0.034,0,7.05987e+07,2.11294e+04,6.066373,3.98594e+07,4.75069e+04,6.350061,4.31720e+07,5.95584e+04,5.673915,0.676146,-15.10,0.15,6221.50,0.3705,0.1855,1.47,2.912,2.1705767,36.6271242,HD 400,699,0.456,0.168,Act,2.788,,0.0,,,L,S,HD 400,2.17058,36.62712
0.002961,165.0177373750000,22.8329574036000,0.001,0.001,90,3988987164339438208,165.01574294499,0.0473,22.83174148146,0.0392,148.1283,0.0569,-426.924,0.080,-282.411,0.078,0,4.86875e+06,5.09090e+03,8.969822,1.04801e+06,2.70428e+03,10.300479,5.76853e+06,1.50138e+04,7.859258,2.441221,,,3612.00,0.2260,0.1130,,,165.0177369,22.8329581,GJ 408,53767,1.55,0.905,Act,2.955,,0.0,,,K,S,GJ 408,165.01774,22.83296
0.008775,1.2953715719200,45.7865665416000,0.001,0.001,90,386655019234959872,1.30074786702,0.0373,45.78591538238,0.0238,86.9567,0.0407,870.753,0.057,-151.267,0.036,0,4.40132e+06,2.65153e+03,9.079408,1.15331e+06,2.55881e+03,10.196524,4.79279e+06,8.45994e+03,8.060449,2.136075,-1.24,0.31,3892.00,0.3040,0.1890,,,1.2953697,45.7865686,HIP 428,428,1.48,1.553,Act,4.085,,0.1,,,K,S,HIP 428,1.29537,45.78657
0.016002,173.8622808850000,-32.5399673918000,0.001,0.001,90,3478160727866058368,173.86191944010,0.0304,-32.54363015196,0.0179,110.2908,0.0444,-70.768,0.053,-850.679,0.034,1,5.23353e+06,1.80124e+03,8.891377,1.30761e+06,8.95707e+02,10.060189,5.84342e+06,3.61883e+03,7.845252,2.214938,17.53,0.21,3780.80,0.0210,0.0097,,,173.8622775,-32.5399708,GJ 433,56528,1.49,0.841,Act,2.412,,0.0,,,K,S,GJ 433,173.86228,-32.53997
0.033189,176.9224520990000,78.6911609355000,0.001,0.001,90,1129149723913123456,176.93887777265,0.0479,78.69323065377,0.0420,190.2625,0.0475,748.111,0.097,480.604,0.080,0,2.87923e+06,2.51418e+03,9.540174,5.14104e+05,1.03449e+03,11.073761,3.61093e+06,7.88097e+03,8.367872,2.705889,,,3507.33,0.0070,0.0060,,,176.9224064,78.6911631,GJ 445,57544,1.59,0.523,Act,2.489,,-0.4,,,K,S,GJ 445,176.92241,78.69116
0.003436,2.2653089212900,40.8428593952000,0.001,0.000,90,383316214738297728,2.26602906095,0.0394,40.84212252991,0.0199,16.7115,0.0321,126.532,0.065,-171.143,0.029,0,3.97924e+07,6.42897e+03,6.688864,1.84992e+07,2.79645e+04,7.183503,2.97914e+07,6.16900e+04,6.076694,1.106809,3.68,0.13,4986.64,,,3.34,6.232,2.26531,40.8428589,HD 445,737,0.8,0.16,Act,4.302,-5.037,2.7,,7.3,L,S,HD 445,2.26531,40.84286
2.226676,2.2657727852100,40.8433688013000,0.007,0.003,90,383316214736402816,2.26645408444,0.2818,40.84259841993,0.1238,16.5777,0.2495,119.707,0.439,-178.928,0.190,1,6.80340e+05,5.11128e+03,11.106550,,,,,,,,,,,,,,,2.26531,40.8428589,HD 445,737,0.8,0.16,Act,4.302,-5.037,2.7,,7.3,L,S,HD 445,2.26531,40.84286
0.004636,2.2618597028200,9.8499672886900,0.001,0.001,90,2753082287370001536,2.26240592995,0.0494,9.84997906613,0.0352,11.8937,0.0540,124.995,0.096,2.735,0.071,1,8.02224e+06,1.38320e+03,8.427627,4.25650e+06,2.87309e+03,8.778756,5.28289e+06,3.38060e+03,7.954741,0.824015,28.36,0.98,5871.50,0.3923,0.2107,1.44,2.228,2.2618592,9.8499661,HD 449,733,0.714,0.172,Act,4.325,-4.95,1.5,32,5.68,K,S,HD 449,2.26186,9.84997
0.011344,177.7805689790000,35.2720135639000,0.001,0.001,90,4031586157514097024,177.77912839405,0.0322,35.27310444670,0.0240,114.1376,0.0390,-273.164,0.057,253.364,0.047,0,5.44453e+06,3.14705e+03,8.848464,1.40068e+06,3.21151e+03,9.985539,5.97753e+06,1.34457e+04,7.820615,2.164924,0.34,0.37,3956.46,0.0280,0.0170,,,177.7805722,35.2720153,GJ 450,57802,1.52,1.563,Act,4.301,,0.26,,,K,S,GJ 450,177.78057,35.27202
0.007248,2.2486597093800,-39.7371598119000,0.001,0.001,0,4996584567835662848,2.24929216530,0.0311,-39.73724010589,0.0283,18.1406,0.0433,112.959,0.048,-18.649,0.059,0,1.75458e+07,5.56137e+03,7.577935,9.55940e+06,1.18717e+04,7.900312,1.11722e+07,1.51799e+04,7.141578,0.758734,-19.24,0.21,5947.75,0.3305,0.1660,1.36,2.087,2.2486581,-39.7371614,HD 457,726,0.589,0.152,Act,2.653,-5.024,0.36,,7.05,K,S,HD 457,2.24866,-39.73716
0.008406,2.3310149794900,17.5339212150000,0.002,0.001,90,2796824398974914944,2.33102946546,0.0447,17.53335981432,0.0402,19.2461,0.0577,3.208,0.104,-130.390,0.069,0,3.27254e+07,1.01155e+04,6.901154,1.74425e+07,2.35011e+04,7.247367,2.11705e+07,3.94119e+04,6.447590,0.799777,,,5875.00,,,1.80,3.470,2.3310153,17.5339189,HD 483,759,0.644,0.254,Act,4.389,-4.62,1.25,13,1.28,L,S,HD 483,2.33102,17.53392
