angDist,_RAJ2000,_DEJ2000,HD,RAJ2000,DEJ2000,Smin,Smax,SMW,logRmin,logRmax,logRMW,Age,e_Age,Teff,[Fe/H],GCS,Simbad,Ref,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.105788,30.237917,-78.870278,12951,02 00 57.1,-78 52 13,0.13,0.146,,-5.247,-5.073,,4.73,1.18,6086,-0.11,GCS,Simbad,19,30.2379332635000,-78.8703072174000,0.001,0.001,90,4633220920027104896,30.24065050387,0.0240,-78.87055357360,0.0209,21.5035,0.0261,121.822,0.044,-57.215,0.042,0,3.95614e+07,9.59556e+03,6.695187,2.17060e+07,3.73483e+04,7.009938,2.47462e+07,5.36421e+04,6.278151,0.731788,30.62,0.17,6100.00,0.8920,0.4257,1.63,3.331
0.700303,32.533333,-31.069722,13386,02 10 08.0,-31 04 11,0.174,0.174,,-5.056,-5.056,,7.72,4.61,5239,0.2,GCS,Simbad,1,32.5334804013000,-31.0698699900000,0.002,0.002,90,5019835424832215424,32.53468702521,0.0473,-31.07062715215,0.0561,22.7337,0.0602,240.041,0.147,-175.854,0.133,0,6.42552e+06,1.24596e+03,8.668594,3.08433e+06,3.47410e+03,9.128485,4.65065e+06,6.67566e+03,8.093136,1.035349,32.65,0.13,5202.50,0.2052,0.1038,0.89,0.522
0.984768,33.08625,-46.816111,13724,02 12 20.7,-46 48 58,0.194,0.205,,-4.778,-4.736,,4.29,2.69,5857,0.12,GCS,Simbad,19,33.0861558283000,-46.8163768467000,0.001,0.001,0,4942867480584948352,33.08596259085,0.0205,-46.81667378730,0.0226,22.9781,0.0277,-30.714,0.039,-68.967,0.044,0,1.52522e+07,3.65047e+03,7.730031,8.04503e+06,9.87944e+03,8.087569,1.00034e+07,1.31680e+04,7.261547,0.826023,20.30,0.15,5775.33,,,1.07,1.141
0.227007,33.17875,-53.743889,13808,02 12 42.9,-53 44 38,0.17,0.235,,-5.115,-4.896,,7.22,4.7,5068,-0.08,GCS,Simbad,17,33.1788564684000,-53.7438924154000,0.001,0.001,90,4743692151804240896,33.17807075580,0.0281,-53.74375905544,0.0239,35.3938,0.0321,-107.923,0.052,30.975,0.045,0,1.07479e+07,2.69673e+03,8.110056,5.07883e+06,4.60739e+03,8.586979,7.88420e+06,1.08229e+04,7.520026,1.066953,40.90,0.18,5085.75,0.0160,0.0080,0.78,0.368
0.691625,37.120417,-45.022778,15507,02 28 28.9,-45 01 22,0.161,0.188,,-4.933,-4.805,,4.22,3.03,5816,0.13,GCS,Simbad,1b,37.1202753500000,-45.0229419664000,0.001,0.001,90,4946403613059558272,37.12069571936,0.0218,-45.02291896714,0.0218,17.5527,0.0295,69.010,0.041,5.342,0.039,0,7.56260e+06,1.83872e+03,8.491688,3.96388e+06,4.67998e+03,8.856086,5.02828e+06,7.26169e+03,8.008370,0.847715,18.58,0.18,5727.00,0.0930,0.0370,1.00,0.973
0.578848,37.3,-42.075278,15590,02 29 12.0,-42 04 31,0.131,0.131,,-5.215,-5.215,,2.85,0.8,6199,0.34,GCS,Simbad,1,37.2999076554000,-42.0754234492000,0.001,0.001,0,4950329075729095296,37.30048638842,0.0209,-42.07565497183,0.0227,10.1270,0.0326,99.771,0.042,-53.772,0.044,0,1.39293e+07,2.94440e+03,7.828542,7.43106e+06,5.04597e+03,8.173760,9.08204e+06,1.41354e+04,7.366462,0.807299,36.98,0.19,5808.33,,,2.29,5.354
0.901672,43.511667,-35.904444,18168,02 54 02.8,-35 54 16,0.516,0.585,,-4.569,-4.506,,7.3,4.72,4833,-0.35,GCS,Simbad,17,43.5116130050000,-35.9046906165000,0.001,0.001,0,5049234888291201280,43.51435365702,0.0228,-35.90543829338,0.0256,34.5491,0.0360,515.588,0.048,-173.645,0.053,1,1.28688e+07,4.95730e+03,7.914525,5.80763e+06,7.43906e+03,8.441390,9.90939e+06,7.16868e+03,7.271803,1.169587,13.30,5.31,4845.00,0.4820,0.2423,0.99,0.488
0.663417,44.712917,-52.095833,18754,02 58 51.1,-52 05 45,0.134,0.138,,-5.143,-5.115,,6.43,0.97,5583,0.25,GCS,Simbad,1b,44.7130965306000,-52.0959806330000,0.001,0.001,90,4747296969393854848,44.71381544329,0.0238,-52.09599350583,0.0244,9.6597,0.0272,102.578,0.048,-2.989,0.047,0,9.39500e+06,2.14326e+03,8.256124,4.84276e+06,3.62786e+03,8.638656,6.37965e+06,6.27911e+03,7.749928,0.888728,11.92,0.17,5577.00,,,2.15,4.036
0.744469,44.78375,-40.723333,18708,02 59 08.1,-40 43 24,0.134,0.147,,-5.123,-5.019,,5.27,2.92,5911,0.12,GCS,Simbad,1b,44.7839285773000,-40.7234893603000,0.001,0.001,0,5044155934844600704,44.78405210723,0.0203,-40.72371391131,0.0237,14.3988,0.0290,21.744,0.042,-52.154,0.050,0,9.29061e+06,2.36437e+03,8.268255,4.99237e+06,5.09332e+03,8.605622,6.03095e+06,1.07247e+04,7.810955,0.794667,8.14,0.21,5864.67,,,1.29,1.761
0.742153,45.18125,-27.641667,18819,03 00 43.5,-27 38 30,0.12,0.12,,-5.295,-5.295,,2.41,0.34,6042,0.27,GCS,Simbad,1,45.1813663889000,-27.6418455181000,0.001,0.001,0,5071591807974410112,45.18118354533,0.0317,-27.64234379881,0.0343,9.9246,0.0512,-37.620,0.057,-115.730,0.069,1,1.93068e+07,4.69785e+03,7.474089,1.05584e+07,1.67489e+04,7.792388,1.21975e+07,2.75083e+04,7.046241,0.746147,-2.24,0.17,6015.50,,,2.55,7.653
