angDist,_RAJ2000,_DEJ2000,SimbadName,B-V,VMAG,GSVal,log(R'HK),l_log(Age),log(Age),Svalues,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
3.648548,8.623801,47.915542,HIP 2712,0.549,4.01,0.152,-4.99,,9.73,Svalues,8.6238,47.9155,8.6228550169700,47.9163326805000,0.003,0.002,90,390900439786899840,8.62549174290,0.0970,47.91656730351,0.0706,20.8066,0.1273,410.440,0.179,54.486,0.126,0,1.26398e+05,3.48290e+02,12.934015,,,,,,,,,,,,,,
0.003196,8.753612,42.694775,HIP 2742,0.87,5.71,0.187,-4.97,,9.69,Svalues,8.7536,42.6948,8.7536125785100,42.6947742207000,0.002,0.001,0,381634580422627584,8.75262952407,0.0489,42.69446064884,0.0498,34.9831,0.0728,-167.811,0.082,-72.831,0.114,0,1.46186e+07,3.74530e+03,7.776098,7.01089e+06,1.14078e+04,8.236956,1.05321e+07,2.65939e+04,7.205628,1.031328,0.59,0.18,5248.33,0.0920,0.0430,0.85,0.498
0.048458,9.746,30.616222,GJ 26,1.54,,0.719,,,,Svalues,9.746,30.6162,9.7460151614500,30.6162186926000,0.001,0.001,90,2858600494141185280,9.75381232952,0.0391,30.61633443939,0.0238,78.9551,0.0355,1558.504,0.076,26.829,0.057,0,1.80709e+06,1.26716e+03,10.045916,4.02578e+05,8.62181e+02,11.339264,2.09696e+06,3.22038e+03,8.957947,2.381317,,,3676.50,0.2945,0.1575,,
0.016058,9.840859,21.250473,HIP 3093,0.85,5.65,0.169,-5.02,,9.77,Svalues,9.8409,21.2505,9.8408562975100,21.2504766813000,0.002,0.001,90,2802397960855105920,9.83872175156,0.0537,21.24888443917,0.0303,89.7891,0.0581,-462.056,0.107,-369.814,0.055,0,1.05041e+08,7.63540e+04,5.634974,5.02885e+07,5.47962e+04,6.097717,7.49303e+07,9.32763e+04,5.075277,1.022440,-33.00,0.16,5280.00,0.1763,0.0865,0.88,0.540
0.003633,9.919603,11.532281,HIP 3119,0.538,3.95,0.17,-4.88,,9.55,Svalues,9.9196,11.5323,9.9196036058700,11.5322801837000,0.001,0.001,90,2775451336039913344,9.92030003120,0.0434,11.53222848299,0.0277,19.5549,0.0489,158.485,0.084,-12.008,0.053,1,2.27158e+07,4.45290e+03,7.297545,1.28282e+07,1.28768e+04,7.580974,1.38712e+07,2.39224e+04,6.906638,0.674336,0.12,0.18,6222.00,0.1613,0.0760,1.31,2.306
0.028478,10.101722,-7.656663,HIP 3169,0.571,3.58,0.156,-4.98,,9.72,Svalues,10.1017,-7.6567,10.1017201015000,-7.6566553163500,0.002,0.001,90,2523208078545561088,10.10226410459,0.0462,-7.65706520213,0.0345,14.9743,0.0521,125.223,0.106,-95.199,0.077,0,2.29149e+07,3.67254e+03,7.288071,1.26578e+07,9.30671e+03,7.595490,1.44012e+07,1.43682e+04,6.865924,0.729565,-3.52,0.15,6064.25,1.1217,0.5900,1.81,3.983
0.246882,10.136704,-23.804876,HIP 3185,0.718,3.86,0.151,-5.07,,9.86,Svalues,10.1367,-23.8049,10.1366483559000,-23.8049219470000,0.007,0.006,0,2347427397969642496,10.13978551776,0.1605,-23.80641790425,0.1551,35.1312,0.1452,666.660,0.386,-347.450,0.423,1,7.97529e+07,3.67233e+04,5.934000,4.01375e+07,1.00178e+05,6.342511,5.46721e+07,1.34981e+05,5.417505,0.925006,-45.42,0.17,5504.50,,,1.78,2.608
0.017584,10.197844,-7.232606,HIP 3203,0.62,4.96,0.303,-4.49,,8.92,Svalues,10.1978,-7.2326,10.1978478012000,-7.2326091044800,0.001,0.001,90,2523361151179609344,10.19785269408,0.0395,-7.23300878661,0.0315,37.7418,0.0466,1.127,0.081,-92.829,0.059,0,3.32710e+07,1.33263e+04,6.883201,1.77400e+07,2.58378e+04,7.229003,2.17032e+07,2.87567e+04,6.420609,0.808394,12.37,0.15,5821.00,0.0483,0.0213,0.94,0.920
0.004699,10.20529,40.187173,HIP 3206,0.937,6.17,0.21,,,,Svalues,10.2053,40.1872,10.2052912922000,40.1871721461000,0.003,0.002,0,369092520004831232,10.20729942008,0.0829,40.18429181889,0.0749,55.7562,0.1002,356.305,0.122,-668.983,0.180,0,2.77995e+07,6.35207e+03,7.078272,1.27547e+07,2.50596e+04,7.587215,2.08283e+07,7.30146e+04,6.465287,1.121928,-63.32,0.13,4999.00,0.2015,0.1007,0.83,0.390
0.003840,10.299476,9.355058,HIP 3236,0.528,3.9,0.183,-4.8,,9.43,Svalues,10.2995,9.3551,10.2994749222000,9.3550579184600,0.001,0.001,90,2750176827892427904,10.29893983403,0.0450,9.35461382248,0.0283,29.7721,0.0508,-122.626,0.093,-103.146,0.051,1,5.24098e+07,1.34934e+04,6.389834,2.96278e+07,2.90091e+04,6.672139,3.17871e+07,5.31357e+04,6.006292,0.665847,-14.72,0.15,6243.00,0.1500,0.0593,1.29,2.294
