angDist,_RAJ2000,_DEJ2000,Name,SpType,plx,logg,l_[Fe/H],[Fe/H],l_Prot,Prot,<S>,<FHK>,<FHa>,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.007589,81.9139644,-60.4159947,HD  36435,G5V,51.1,4.49,,-0.02,,11.2,0.44,149.4,28.75,Simbad,81.91396,-60.41599,81.9139681466000,-60.4159957111000,0.001,0.001,0,4759543295545939840,81.91267360627,0.0264,-60.41639755600,0.0305,51.3404,0.0303,-148.439,0.057,-93.330,0.065,0,3.63013e+07,1.80139e+04,6.788562,1.80326e+07,6.28714e+04,7.211243,2.50221e+07,9.65140e+04,6.266113,0.945130,14.23,0.13,5499.50,0.0780,0.0313,0.82,0.556
0.017948,84.2368942,-47.9646875,HD  37572,K0V,41.9,,,,,,0.79,211.05,36.38,Simbad,84.23689,-47.96469,84.2368877986000,-47.9646900462000,0.001,0.001,0,4795598309045006208,84.23703551400,0.0215,-47.96469492120,0.0254,40.6056,0.0255,22.972,0.049,-1.132,0.051,0,1.81453e+07,2.68123e+04,7.541458,8.76798e+06,4.90360e+04,7.994140,1.29217e+07,6.74339e+04,6.983625,1.010515,32.36,0.15,5343.00,0.0290,0.0145,0.79,0.453
0.177283,86.1105958,-22.4218806,HD  38392,K2V,,4.5,,0.02,,17.3,0.48,62.95,22.14,Simbad,86.1106,-22.42188,86.1105703820000,-22.4218373218000,0.001,0.000,0,2964001014514075520,86.10914951157,0.0150,-22.42335556279,0.0257,112.4005,0.0302,-305.065,0.031,-352.628,0.049,0,8.57329e+07,4.54301e+04,5.855497,3.84565e+07,7.51826e+04,6.388965,6.47968e+07,8.22926e+04,5.233036,1.155929,-9.73,0.14,4944.00,0.1153,0.0457,0.75,0.300
0.062496,86.1157933,-22.4483822,HD  38393,F7V,111.49,4.1,,-0.12,,13.22,0.16,188.15,39.16,Simbad,86.11579,-22.44838,86.1157771612000,-22.4483733183000,0.013,0.012,0,2964000159820118400,86.11443477236,0.3037,-22.44997192507,0.3536,112.6109,0.3162,-288.155,0.798,-371.288,0.829,1,8.47129e+08,3.10073e+06,3.368491,4.12610e+08,3.97131e+06,3.812539,4.75152e+08,1.11029e+06,3.069838,0.742701,,,6282.50,,,1.36,2.590
0.014756,87.1455861,-4.0946478,HD  38858,G4V,64.25,,,,,,0.16,102.85,32.39,Simbad,87.14559,-4.09465,87.1455839388000,-4.0946443137200,0.002,0.002,90,3023711269067191296,87.14584956819,0.0556,-4.09563224285,0.0540,65.5534,0.0621,61.537,0.113,-229.454,0.111,0,9.08710e+07,7.23818e+04,5.792302,4.76903e+07,1.92787e+05,6.155313,5.96365e+07,1.09265e+05,5.323141,0.832172,31.61,0.19,5717.00,0.0595,0.0315,0.93,0.838
0.009869,88.3640183,-43.5587025,HD  39917,G8V,5.13,,,,,4.48,0.54,158.1,47.64,Simbad,88.36402,-43.5587,88.3640173135000,-43.5586998535000,0.001,0.001,0,4803409475871194624,88.36399307092,0.0218,-43.55894060692,0.0289,5.3072,0.0265,-4.080,0.048,-55.917,0.058,0,1.64003e+07,3.03909e+04,7.651238,7.84607e+06,4.33034e+04,8.114759,1.18786e+07,6.40219e+04,7.075003,1.039755,,,5199.00,,,6.10,24.456
0.023534,91.1945008,-48.4583042,HD  41824,G6V,33.64,,,,,,0.57,260.3,44.3,Simbad,91.1945,-48.4583,91.1944963330000,-48.4582983725000,0.001,0.001,90,5554191685020871424,91.19383987985,0.0294,-48.45839608168,0.0251,32.5101,0.0285,-101.110,0.066,-22.693,0.060,0,2.93318e+07,3.05094e+04,7.020017,1.48172e+07,1.52331e+05,7.424473,2.10425e+07,2.02551e+05,6.454179,0.970295,35.24,5.25,5357.00,0.4010,0.2077,1.24,1.139
2.649144,91.1945008,-48.4583042,HD  41824,G6V,33.64,,,,,,0.57,260.3,44.3,Simbad,91.1945,-48.4583,91.1954670717000,-48.4586659885000,0.001,0.001,90,5554191685019290368,91.19470494847,0.0246,-48.45883408526,0.0235,32.4694,0.0247,-117.386,0.052,-39.041,0.049,0,2.06298e+07,9.57912e+03,7.402127,1.06985e+07,5.08776e+04,7.778079,1.46256e+07,1.96988e+05,6.849133,0.928947,14.25,0.17,5320.00,0.1740,0.0920,1.06,0.807
0.057295,92.6442308,-21.8646431,HD  42581,M1/M2V,173.19,,,,,7.74,1.66,9.72,4.73,Simbad,92.64423,-21.86464,92.6442302196000,-21.8646271938000,0.002,0.002,0,2940856402123426176,92.64359934092,0.0505,-21.86772330143,0.0515,173.6955,0.0457,-135.985,0.104,-719.088,0.152,1,2.25139e+07,1.27840e+04,7.307239,6.11042e+06,6.71626e+03,8.386210,2.41627e+07,3.03521e+04,6.304055,2.082155,4.02,0.16,3912.54,0.4330,0.2267,,
0.501134,94.3172406,5.1001119,HD  43587,G0.5Vb,51.76,,,-0.08,,20.0,0.15,100.4,32.81,Simbad,94.31724,5.10011,94.3172078996000,5.0999765602100,0.003,0.003,90,3317901165746471552,94.31629259349,0.0996,5.10069104987,0.0973,51.8027,0.1113,-211.744,0.194,165.945,0.174,0,1.14868e+08,1.48507e+05,5.537864,6.09129e+07,3.17270e+05,5.889615,7.30511e+07,3.14439e+05,5.102853,0.786762,8.93,0.27,5907.00,0.1620,0.0820,1.24,1.679
