angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,Star,Nobs,Smin,Smax,Smean,e_Smean,sdS,Wmin,Wmean,Date1,Date2,SName,RAJ2000,DEJ2000,rPos,Bmag,Vmag,ASCC,HIP
0.990122,323.4952182350000,45.5918309835000,0.007,0.006,0,1971163631214790528,323.49507132613,0.1918,45.59143608851,0.2118,25.6584,0.2272,-23.876,0.403,-91.718,0.420,1,6.47489e+08,1.82095e+06,3.660284,2.77084e+08,1.05488e+06,4.244859,4.39066e+08,7.75554e+05,3.155596,1.089263,,,5043.00,,,8.54,42.503,HD 205435,3,0.1872,0.1942,0.1901,0.0037,1.92,4966.5,5056.6,1982-07-23,1982-07-23,HD 205435,323.4953,45.5921,A,4.869,3.987,357650,106481
1.487141,323.6941072620000,38.5340629761000,0.004,0.003,0,1953794542947272192,323.69473288895,0.0875,38.53449526702,0.1137,14.2468,0.1339,113.665,0.192,100.403,0.237,0,2.94096e+08,6.39000e+05,4.517144,1.22412e+08,1.39586e+05,5.131825,2.18669e+08,4.71622e+05,3.912453,1.219372,-63.21,0.16,4700.00,0.1510,0.0950,12.47,68.393,HD 205512,3,0.0938,0.0982,0.0962,0.0022,2.32,1443.4,1469.9,1982-07-14,1982-07-14,HD 205512,323.6937,38.5338,A,5.957,4.866,535800,106551
0.178301,323.9852527630000,26.3696147748000,0.001,0.001,90,1798896513052442240,323.98542573598,0.0177,26.36964140329,0.0230,5.0683,0.0374,35.994,0.061,6.185,0.061,1,4.28352e+06,6.07966e+02,9.108863,2.37374e+06,1.61045e+03,9.412804,2.72045e+06,1.70844e+03,8.675319,0.737485,-3.44,0.27,5903.18,,,2.45,6.541,HD 205626,3,0.1342,0.1411,0.1387,0.0039,2.83,142.0,151.1,1982-07-18,1982-07-18,HD 205626,323.9852,26.3696,A,9.811,9.233,729436,106635
0.395554,323.9889205460000,26.3699202045000,0.001,0.001,0,1798896513052441600,323.98909182193,0.0182,26.36994701133,0.0234,5.0364,0.0378,35.641,0.062,6.226,0.063,1,4.17505e+06,6.45375e+02,9.136712,2.32384e+06,1.86537e+03,9.435871,2.63233e+06,1.36294e+03,8.711069,0.724802,-3.11,0.30,6148.37,,,2.23,6.400,HD 205627,3,0.1298,0.167,0.1497,0.0187,12.52,154.2,169.8,1982-07-18,1982-07-18,HD 205627,323.9888,26.3699,A,9.826,9.254,729437,106637
0.125027,324.6678915910000,-48.4720657206000,0.001,0.001,90,6562299914747868928,324.66790258596,0.0399,-48.47207355898,0.0360,5.2085,0.0526,1.693,0.092,-1.821,0.080,0,2.16919e+06,4.93274e+02,9.847620,1.07877e+06,8.24743e+02,10.269062,1.53276e+06,8.91531e+02,9.298233,0.970829,18.18,4.07,5309.67,,,2.15,3.303,HD 205724,3,0.2688,0.287,0.2788,0.0092,3.31,2127.7,2143.0,1982-07-19,1982-07-19,HD 205724,324.6679,-48.4721,A,10.797,9.961,2097013,
3.383590,324.6668461900000,-48.4714713074000,0.011,0.008,0,6562299914747881216,324.66686300915,0.2541,-48.47146938710,0.3419,3.2484,0.4607,2.590,0.538,0.446,0.735,0,2.34068e+03,3.94881e+01,17.265009,,,,,,,,,,,,,,,HD 205724,3,0.2688,0.287,0.2788,0.0092,3.31,2127.7,2143.0,1982-07-19,1982-07-19,HD 205724,324.6679,-48.4721,A,10.797,9.961,2097013,
0.319780,323.6075170750000,66.7264483636000,0.001,0.001,0,2221267239073926784,323.60724645035,0.0209,66.72631754625,0.0215,5.7523,0.0222,-24.835,0.041,-30.383,0.041,0,4.17323e+07,8.91883e+03,6.637185,1.79585e+07,3.61702e+04,7.215715,3.28165e+07,7.28812e+04,5.971689,1.244026,-7.11,0.13,4747.71,0.1112,0.0450,11.32,58.663,HD 205741,3,0.1066,0.127,0.1162,0.0103,8.82,303.9,306.8,1982-07-26,1982-07-26,HD 205741,323.6077,66.7265,A,8.054,6.936,95338,106515
0.102335,323.6624451640000,66.7722815516000,0.001,0.001,0,2221273320748346240,323.66240836254,0.0233,66.77220343371,0.0262,3.6229,0.0231,-3.371,0.046,-18.144,0.051,0,4.29516e+07,1.05303e+04,6.605917,1.64862e+07,3.24514e+04,7.308586,3.67650e+07,1.50624e+05,5.848334,1.460252,-13.41,0.14,4351.29,0.3530,0.1703,23.41,176.995,HD 205776,3,0.1423,0.167,0.1541,0.0124,8.04,222.8,253.3,1982-07-20,1982-07-20,HD 205776,323.6625,66.7723,A,8.363,7.023,95347,106538
0.991944,324.4392918940000,19.3186067033000,0.003,0.002,0,1786562122890790016,324.43974857834,0.0919,19.31866889392,0.0982,10.9552,0.1074,100.096,0.152,14.444,0.168,0,1.35686e+08,2.72644e+05,5.357030,8.24456e+07,3.66480e+05,5.560969,7.27396e+07,1.98889e+05,5.107492,0.453477,,,7023.00,1.0510,0.5030,4.48,43.907,HD 205852,3,0.2206,0.2227,0.2215,0.0011,0.48,5107.1,5175.2,1982-07-24,1982-07-24,HD 205852,324.439,19.3186,A,5.783,5.449,905296,106787
0.932133,324.8886133680000,2.2435559732900,0.005,0.005,90,2694414129322277504,324.88848324890,0.1612,2.24320074479,0.1826,13.0132,0.1839,-30.198,0.337,-82.505,0.335,1,2.31334e+08,1.01018e+06,4.777766,9.91546e+07,3.23557e+05,5.360606,1.70860e+08,4.87434e+05,4.180317,1.180289,-34.58,0.20,4795.25,0.1140,0.0515,11.47,62.670,HD 206067,3,0.0989,0.1037,0.1007,0.0026,2.62,1455.9,1497.2,1982-07-15,1982-07-15,HD 206067,324.8887,2.2438,A,6.13,5.095,1177711,106944
